stage,config,models,year,games,accuracy,log_loss,brier,auc,avg_confidence
confirm_blend_trees,current_15g_3sp_15bp__sp_only,xgboost+lightgbm+catboost,2024,2485,0.5529175050301811,0.6808197927381608,0.24426208096424745,0.5807065795688711,0.5701903338164558
confirm_blend_trees,current_15g_3sp_15bp__sp_only,xgboost+lightgbm+catboost,2025,2430,0.5567901234567901,0.6800168981142509,0.24378301560988813,0.5735398786277415,0.5644007654678593
confirm_blend_trees,current_15g_3sp_15bp__sp_only,xgboost+lightgbm+catboost,2026,680,0.55,0.6851298693592244,0.24615336272924024,0.5461841599384851,0.5555847041492489
confirm_blend_trees,short_7g_3sp_7bp__sp_only,xgboost+lightgbm+catboost,2024,2485,0.5529175050301811,0.6808197927381608,0.24426208096424745,0.5807065795688711,0.5701903338164558
confirm_blend_trees,short_7g_3sp_7bp__sp_only,xgboost+lightgbm+catboost,2025,2430,0.5567901234567901,0.6800168981142509,0.24378301560988813,0.5735398786277415,0.5644007654678593
confirm_blend_trees,short_7g_3sp_7bp__sp_only,xgboost+lightgbm+catboost,2026,680,0.55,0.6851298693592244,0.24615336272924024,0.5461841599384851,0.5555847041492489
confirm_blend_trees,short_7g_3sp_7bp__offense_sp,xgboost+lightgbm+catboost,2024,2485,0.5537223340040242,0.6804800437378367,0.24412356345801325,0.5814802991845611,0.5714385681483665
confirm_blend_trees,short_7g_3sp_7bp__offense_sp,xgboost+lightgbm+catboost,2025,2430,0.5518518518518518,0.6796207979249227,0.24361056859080266,0.5751141831393147,0.5646950799736175
confirm_blend_trees,short_7g_3sp_7bp__offense_sp,xgboost+lightgbm+catboost,2026,680,0.5514705882352942,0.6854467429163283,0.2463045787893583,0.5447205620216,0.556049635151935
confirm_blend_trees,current_15g_3sp_15bp__sp_bullpen,xgboost+lightgbm+catboost,2024,2485,0.5517102615694165,0.6805843550096993,0.2441399423552825,0.5819503703473012,0.5710620381200942
confirm_blend_trees,current_15g_3sp_15bp__sp_bullpen,xgboost+lightgbm+catboost,2025,2430,0.551440329218107,0.680083840988494,0.24383812978255928,0.5728530396633296,0.5634680234951479
