date,year,home_team,away_team,home_score,away_score,home_win,home_ml,away_ml
2026-04-17,2026,CHC,NYM,12,4,1,-146.0,122.0
2026-04-17,2026,CLE,BAL,4,6,0,-135.0,46.0
2026-04-17,2026,COL,LAD,1,7,0,251.0,-315.0
2026-04-17,2026,HOU,STL,4,9,0,-128.0,106.0
2026-04-17,2026,MIA,MIL,5,7,0,-115.0,-105.0
2026-04-17,2026,MIN,CIN,1,2,0,-171.0,142.0
2026-04-17,2026,NYY,KCR,4,2,1,-172.0,143.0
2026-04-17,2026,ATH,CHW,2,9,0,-155.0,130.0
2026-04-17,2026,PIT,TBR,5,1,1,-132.0,111.0
2026-04-17,2026,WSN,SFG,5,10,0,125.0,-150.0
2026-04-18,2026,ARI,TOR,6,2,1,-136.0,13.0
2026-04-18,2026,BOS,DET,1,4,0,140.0,-166.0
2026-04-18,2026,CHC,NYM,4,2,1,-112.0,-109.0
2026-04-18,2026,CLE,BAL,4,2,1,-133.0,11.0
2026-04-18,2026,COL,LAD,4,3,1,222.0,-276.0
2026-04-18,2026,HOU,STL,5,7,0,-149.0,124.0
2026-04-18,2026,LAA,SDP,1,4,0,-112.0,-109.0
2026-04-18,2026,MIA,MIL,2,5,0,-118.0,-104.0
2026-04-18,2026,MIN,CIN,4,5,0,-131.0,110.0
2026-04-18,2026,NYY,KCR,13,4,1,-150.0,124.0
2026-04-18,2026,ATH,CHW,7,6,1,-150.0,126.0
2026-04-18,2026,PHI,ATL,1,3,0,-130.0,110.0
2026-04-18,2026,PIT,TBR,7,8,0,-164.0,138.0
2026-04-18,2026,SEA,TEX,7,3,1,-138.0,117.0
2026-04-18,2026,WSN,SFG,6,7,0,-108.0,-112.0
2026-04-19,2026,ARI,TOR,4,10,0,-103.0,-116.0
2026-04-19,2026,BOS,DET,2,6,0,-144.0,121.0
2026-04-19,2026,CHC,NYM,2,1,1,-132.0,44.0
2026-04-19,2026,CLE,BAL,8,4,1,-120.0,-33.0
2026-04-19,2026,COL,LAD,9,6,1,189.0,-231.0
2026-04-19,2026,HOU,STL,5,7,0,-145.0,123.0
2026-04-19,2026,LAA,SDP,1,2,0,49.0,-139.0
2026-04-19,2026,MIA,MIL,5,3,1,-110.0,-110.0
2026-04-19,2026,MIN,CIN,4,7,0,-120.0,-33.0
2026-04-19,2026,ATH,CHW,4,7,0,-155.0,130.0
2026-04-19,2026,PHI,ATL,2,4,0,-109.0,-111.0
2026-04-19,2026,PIT,TBR,6,3,1,-117.0,-37.0
2026-04-19,2026,SEA,TEX,5,2,1,-139.0,117.0
2026-04-20,2026,BOS,DET,8,6,1,-134.0,112.0
2026-04-20,2026,CHC,PHI,5,1,1,-110.0,-110.0
2026-04-20,2026,CLE,HOU,2,9,0,-129.0,41.0
2026-04-20,2026,COL,LAD,3,12,0,183.0,-225.0
2026-04-20,2026,KCR,BAL,5,7,0,-109.0,-112.0
2026-04-20,2026,LAA,TOR,2,5,0,-105.0,-115.0
2026-04-20,2026,MIA,STL,5,3,1,-133.0,112.0
2026-04-20,2026,SEA,ATH,4,6,0,-150.0,124.0
2026-04-20,2026,TBR,CIN,1,6,0,-123.0,35.0
2026-04-20,2026,WSN,ATL,4,9,0,128.0,-155.0
2026-04-21,2026,ARI,CHW,5,11,0,-143.0,120.0
2026-04-21,2026,CHC,PHI,7,4,1,-126.0,103.0
2026-04-21,2026,CLE,HOU,8,5,1,-147.0,123.0
2026-04-21,2026,DET,MIL,4,12,0,-115.0,-105.0
2026-04-21,2026,KCR,BAL,6,5,1,-130.0,109.0
2026-04-21,2026,LAA,TOR,2,4,0,-118.0,-35.0
2026-04-21,2026,MIA,STL,3,5,0,-122.0,34.0
2026-04-21,2026,NYM,MIN,3,5,0,-165.0,138.0
