Date,home_team,away_team,game_number,year,home_sp_id,home_sp_name,away_sp_id,away_sp_name,game_pk,game_id
2026-04-03,MIN,TBR,1,2026,mlb_641927,Bailey Ober,mlb_671212,Joe Boyle,,20260403_MIN_TBR_1
2026-04-03,NYY,MIA,1,2026,mlb_701542,Will Warren,mlb_691587,Eury Pérez,,20260403_NYY_MIA_1
2026-04-03,PIT,BAL,1,2026,mlb_656605,Mitch Keller,mlb_680694,Kyle Bradish,,20260403_PIT_BAL_1
2026-04-03,SFG,NYM,1,2026,mlb_641816,Tyler Mahle,mlb_690997,Nolan McLean,,20260403_SFG_NYM_1
2026-04-03,TEX,CIN,1,2026,mlb_669022,MacKenzie Gore,mlb_663903,Brady Singer,,20260403_TEX_CIN_1
2026-04-03,WSN,LAD,1,2026,mlb_571945,Miles Mikolas,mlb_686218,Emmet Sheehan,,20260403_WSN_LAD_1
2026-04-04,ARI,ATL,1,2026,mlb_647336,Michael Soroka,mlb_693821,Bryce Elder,,20260404_ARI_ATL_1
2026-04-04,ATH,HOU,1,2026,mlb_806960,Luis Morales,mlb_837227,Tatsuya Imai,,20260404_ATH_HOU_1
2026-04-04,BOS,SDP,1,2026,mlb_813349,Connelly Early,mlb_681190,Randy Vásquez,,20260404_BOS_SDP_1
2026-04-04,CHW,TOR,1,2026,mlb_691799,Grant Taylor,mlb_689254,Mason Fluharty,,20260404_CHW_TOR_1
2026-04-04,COL,PHI,1,2026,mlb_657514,Brennan Bernardino,mlb_666200,Jesús Luzardo,,20260404_COL_PHI_1
