date,matchup,home_score,away_score,bet_side,stake,odds,model_prob,vegas_prob,edge,odds_bucket,edge_threshold,policy_reason,won,game_pnl,bankroll,home_team,away_team,side_home_away,is_favorite,sp_name,opp_sp_name,sp_throws,opp_sp_throws,close_prob,clv_prob,season_phase
2025-09-02,CHW @ MIN,3.0,12.0,,0.0,-142.8,0.6055,0.5641,0.0414,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,133.86,MIN,CHW,home,True,Simeon Woods Richardson,Davis Martin,R,R,,,late
2025-09-02,TEX @ ARI,5.0,3.0,,0.0,-109.7,0.515,0.5013,0.0137,-115:+100,,-115:+100 excluded by static_underdog_130_170,,0.0,133.86,ARI,TEX,home,True,Nabil Crismatt,Jake Latz,R,L,,,late
2025-09-02,ATH @ STL,2.0,1.0,,0.0,,,,,,,missing odds,,0.0,133.86,STL,ATH,,,,,,,,,
2025-09-02,BAL @ SDP,2.0,6.0,,0.0,-186.7,0.6962,0.623,0.0731,<-180,,<-180 excluded by static_underdog_130_170,,0.0,133.86,SDP,BAL,home,True,Yu Darvish,Tyler Wells,R,R,,,late
2025-09-02,LAA @ KCR,1.0,5.0,,0.0,-173.2,0.6279,0.6057,0.0222,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,133.86,KCR,LAA,home,True,Michael Lorenzen,Mitch Farris,R,L,,,late
2025-09-02,NYY @ HOU,1.0,7.0,HOU,5.47,145.0,0.5049,0.3806,0.1243,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,False,-5.47,128.39,HOU,NYY,home,False,Framber Valdez,Max Fried,L,L,,,late
2025-09-03,SEA @ TBR,9.0,4.0,,0.0,111.8,0.4651,0.4521,0.0129,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,128.39,TBR,SEA,home,False,Adrian Houser,George Kirby,R,R,,,late
2025-09-03,NYY @ HOU,8.0,7.0,,0.0,117.8,0.5109,0.4385,0.0724,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,128.39,HOU,NYY,home,False,Jason Alexander,Will Warren,R,R,,,late
2025-09-03,SFG @ COL,8.0,10.0,COL,2.41,159.2,0.432,0.3694,0.0625,+130:+170,0.06,static_underdog_130_170: +130:+170 edge > 6%,False,-2.41,125.98,COL,SFG,home,False,German Marquez,Robbie Ray,R,L,,,late
2025-09-03,LAA @ KCR,3.0,4.0,,0.0,179.7,0.398,0.3333,0.0646,+170+,,+170+ excluded by static_underdog_130_170,,0.0,125.98,KCR,LAA,away,False,Caden Dana,Ryan Bergert,R,R,,,late
2025-09-03,PHI @ MIL,6.0,3.0,,0.0,,,,,,,missing odds,,0.0,125.98,MIL,PHI,,,,,,,,,
2025-09-03,CLE @ BOS,1.0,8.0,,0.0,,,,,,,missing odds,,0.0,125.98,BOS,CLE,,,,,,,,,
2025-09-03,CHW @ MIN,3.0,4.0,,0.0,-174.0,0.6329,0.6068,0.0261,-180:-140,,-180:-140 excluded by static_underdog_130_170,,0.0,125.98,MIN,CHW,home,True,Zebby Matthews,Yoendrys Gomez,R,R,,,late
2025-09-03,MIA @ WSN,10.0,5.0,,0.0,124.2,0.5052,0.4272,0.0781,+100:+130,,+100:+130 excluded by static_underdog_130_170,,0.0,125.98,WSN,MIA,home,False,Mitchell Parker,Eury Perez,L,R,,,late
2025-09-03,NYM @ DET,6.0,2.0,,0.0,,,,,,,missing odds,,0.0,125.98,DET,NYM,,,,,,,,,
