date,team,il_war_score
2015-09-01,DET,3.07
2015-10-01,DET,2.7
2016-04-01,DET,3.3
2016-05-01,DET,-1.14
2016-06-01,DET,-0.87
2016-07-01,DET,9.51
2016-08-01,DET,11.59
2016-09-01,DET,6.6
2016-10-01,DET,0.9
2017-04-01,DET,1.79
2017-05-01,DET,6.59
2017-06-01,DET,6.54
2017-07-01,DET,0.0
2017-08-01,DET,6.2
2017-09-01,DET,1.44
2017-10-01,DET,1.44
2018-04-01,DET,-0.26
2018-05-01,DET,0.79
2018-06-01,DET,2.44
2018-07-01,DET,1.19
2018-08-01,DET,3.82
2018-09-01,DET,-0.19
2018-10-01,DET,3.71
2019-04-01,DET,3.46
2019-05-01,DET,3.23
2019-06-01,DET,3.12
2019-07-01,DET,1.76
2019-08-01,DET,2.72
2019-09-01,DET,6.2
2019-10-01,DET,5.28
2020-04-01,DET,1.18
2020-05-01,DET,1.18
2020-06-01,DET,1.18
2020-07-01,DET,1.18
2020-08-01,DET,5.11
2020-09-01,DET,2.95
2020-10-01,DET,5.19
2021-04-01,DET,0.57
2021-05-01,DET,-1.28
2021-06-01,DET,0.01
2021-07-01,DET,-2.06
2021-08-01,DET,-2.11
2021-09-01,DET,-1.11
2021-10-01,DET,-1.26
2022-04-01,DET,0.0
2022-05-01,DET,8.78
2022-06-01,DET,16.71
2022-07-01,DET,8.89
2022-08-01,DET,12.06
2022-09-01,DET,12.51
2022-10-01,DET,9.06
2023-04-01,DET,2.61
2023-05-01,DET,3.97
2023-06-01,DET,5.67
2023-07-01,DET,5.71
2023-08-01,DET,1.8
2023-09-01,DET,0.63
2023-10-01,DET,2.48
2024-04-01,DET,0.39
2024-05-01,DET,1.1
2024-06-01,DET,3.89
2024-07-01,DET,3.23
2024-08-01,DET,6.59
2024-09-01,DET,2.96
2024-10-01,DET,1.61
2025-04-01,DET,7.35
2025-05-01,DET,6.92
2025-06-01,DET,9.47
2025-07-01,DET,6.01
2025-08-01,DET,6.94
2025-09-01,DET,11.59
2025-10-01,DET,6.19
2026-04-01,DET,2.05
2026-05-01,DET,9.92
2015-04-01,HOU,2.05
2015-05-01,HOU,3.3
2015-06-01,HOU,4.01
2015-07-01,HOU,5.66
2015-08-01,HOU,3.53
2015-09-01,HOU,4.76
2015-10-01,HOU,3.01
2016-04-01,HOU,3.18
2016-05-01,HOU,2.37
2016-06-01,HOU,0.0
2016-07-01,HOU,0.0
2016-08-01,HOU,3.04
2016-09-01,HOU,5.0
2016-10-01,HOU,5.0
2017-04-01,HOU,0.78
2017-05-01,HOU,1.21
2017-06-01,HOU,1.74
2017-07-01,HOU,1.49
2017-08-01,HOU,14.62
2017-09-01,HOU,10.6
2017-10-01,HOU,-0.45
2018-04-01,HOU,-0.57
2018-05-01,HOU,-0.74
2018-06-01,HOU,5.09
2018-07-01,HOU,7.88
2018-08-01,HOU,17.38
2018-09-01,HOU,2.74
2018-10-01,HOU,-0.13
2019-04-01,HOU,1.75
2019-05-01,HOU,1.75
2019-06-01,HOU,17.77
2019-07-01,HOU,7.45
2019-08-01,HOU,4.82
2019-09-01,HOU,9.03
2019-10-01,HOU,1.39
2020-04-01,HOU,0.0
2020-05-01,HOU,0.0
2020-06-01,HOU,0.0
2020-07-01,HOU,0.0
2020-08-01,HOU,14.28
2020-09-01,HOU,23.79
